"Time","id","unique_id","Sample","Value"
0,"1","cell_01","cell_01",0.9935818
2,"1","cell_01","cell_01",0.9972606
4,"1","cell_01","cell_01",1.010935
6,"1","cell_01","cell_01",0.9959134
8,"1","cell_01","cell_01",0.9970548
10,"1","cell_01","cell_01",1.003856
12,"1","cell_01","cell_01",0.9951291
14,"1","cell_01","cell_01",1.004095
16,"1","cell_01","cell_01",1.006717
18,"1","cell_01","cell_01",0.9848872
20,"1","cell_01","cell_01",1.008174
22,"1","cell_01","cell_01",0.9904026
24,"1","cell_01","cell_01",0.9901288
26,"1","cell_01","cell_01",0.9985291
28,"1","cell_01","cell_01",0.9977976
30,"1","cell_01","cell_01",0.9937107
32,"1","cell_01","cell_01",1.002426
34,"1","cell_01","cell_01",0.9990357
36,"1","cell_01","cell_01",1.005001
38,"1","cell_01","cell_01",0.9757972
40,"1","cell_01","cell_01",0.99025
42,"1","cell_01","cell_01",0.9914863
44,"1","cell_01","cell_01",0.9864967
46,"1","cell_01","cell_01",0.9835734
48,"1","cell_01","cell_01",0.9921454
50,"1","cell_01","cell_01",0.690575
52,"1","cell_01","cell_01",0.6927613
54,"1","cell_01","cell_01",0.6903122
56,"1","cell_01","cell_01",0.6495826
58,"1","cell_01","cell_01",0.6826769
60,"1","cell_01","cell_01",0.6730855
62,"1","cell_01","cell_01",0.6832842
64,"1","cell_01","cell_01",0.680155
66,"1","cell_01","cell_01",0.6772369
68,"1","cell_01","cell_01",0.6767522
70,"1","cell_01","cell_01",0.6745279
72,"1","cell_01","cell_01",0.6711643
74,"1","cell_01","cell_01",0.679616
76,"1","cell_01","cell_01",0.6743037
78,"1","cell_01","cell_01",0.6702362
80,"1","cell_01","cell_01",0.6660641
82,"1","cell_01","cell_01",0.6702495
84,"1","cell_01","cell_01",0.6692957
86,"1","cell_01","cell_01",0.6671401
88,"1","cell_01","cell_01",0.6722153
90,"1","cell_01","cell_01",0.6670756
92,"1","cell_01","cell_01",0.6673751
94,"1","cell_01","cell_01",0.6736002
96,"1","cell_01","cell_01",0.6639975
98,"1","cell_01","cell_01",0.669982
100,"1","cell_01","cell_01",0.6682358
102,"1","cell_01","cell_01",0.6667442
104,"1","cell_01","cell_01",0.669704
106,"1","cell_01","cell_01",0.6637713
108,"1","cell_01","cell_01",0.6645879
110,"1","cell_01","cell_01",0.6622819
112,"1","cell_01","cell_01",0.665643
114,"1","cell_01","cell_01",0.6617401
116,"1","cell_01","cell_01",0.6666878
118,"1","cell_01","cell_01",0.6629437
120,"1","cell_01","cell_01",0.6593377
122,"1","cell_01","cell_01",0.661852
124,"1","cell_01","cell_01",0.6605454
126,"1","cell_01","cell_01",0.6574807
128,"1","cell_01","cell_01",0.662096
130,"1","cell_01","cell_01",0.6560688
132,"1","cell_01","cell_01",0.6601675
134,"1","cell_01","cell_01",0.6624002
136,"1","cell_01","cell_01",0.6653245
138,"1","cell_01","cell_01",0.661963
140,"1","cell_01","cell_01",0.6587321
142,"1","cell_01","cell_01",0.6667782
144,"1","cell_01","cell_01",0.6655675
146,"1","cell_01","cell_01",0.666216
148,"1","cell_01","cell_01",0.6661156
150,"1","cell_01","cell_01",0.6674702
152,"1","cell_01","cell_01",0.6604555
154,"1","cell_01","cell_01",0.6675453
156,"1","cell_01","cell_01",0.6585846
158,"1","cell_01","cell_01",0.6570661
160,"1","cell_01","cell_01",0.6780392
162,"1","cell_01","cell_01",0.6967249
164,"1","cell_01","cell_01",0.7252154
166,"1","cell_01","cell_01",0.760114
168,"1","cell_01","cell_01",0.7792834
170,"1","cell_01","cell_01",0.7908425
172,"1","cell_01","cell_01",0.8013706
174,"1","cell_01","cell_01",0.821974
176,"1","cell_01","cell_01",0.8077375
178,"1","cell_01","cell_01",0.824002
180,"1","cell_01","cell_01",0.7983506
182,"1","cell_01","cell_01",0.8235811
184,"1","cell_01","cell_01",0.8200656
186,"1","cell_01","cell_01",0.8290564
188,"1","cell_01","cell_01",0.8236263
190,"1","cell_01","cell_01",0.8216298
192,"1","cell_01","cell_01",0.8210967
194,"1","cell_01","cell_01",0.8282813
196,"1","cell_01","cell_01",0.8357399
198,"1","cell_01","cell_01",0.8319375
200,"1","cell_01","cell_01",0.8346034
202,"1","cell_01","cell_01",0.8330616
204,"1","cell_01","cell_01",0.8360739
206,"1","cell_01","cell_01",0.8376793
208,"1","cell_01","cell_01",0.8394494
210,"1","cell_01","cell_01",0.8409116
212,"1","cell_01","cell_01",0.8345894
214,"1","cell_01","cell_01",0.8417685
216,"1","cell_01","cell_01",0.828907
218,"1","cell_01","cell_01",0.8350143
220,"1","cell_01","cell_01",0.8406683
222,"1","cell_01","cell_01",0.8541303
224,"1","cell_01","cell_01",0.8438001
226,"1","cell_01","cell_01",0.8772048
228,"1","cell_01","cell_01",0.8601219
230,"1","cell_01","cell_01",0.854363
232,"1","cell_01","cell_01",0.8438829
234,"1","cell_01","cell_01",0.8384114
236,"1","cell_01","cell_01",0.8512328
238,"1","cell_01","cell_01",0.8389911
240,"1","cell_01","cell_01",0.8388155
0,"1","cell_02","cell_02",0.9965762
2,"1","cell_02","cell_02",0.9979417
4,"1","cell_02","cell_02",1.007662
6,"1","cell_02","cell_02",1.001891
8,"1","cell_02","cell_02",0.9971041
10,"1","cell_02","cell_02",1.001855
12,"1","cell_02","cell_02",0.9936391
14,"1","cell_02","cell_02",1.005613
16,"1","cell_02","cell_02",1.00001
18,"1","cell_02","cell_02",0.9914007
20,"1","cell_02","cell_02",1.008992
22,"1","cell_02","cell_02",0.9878731
24,"1","cell_02","cell_02",0.992722
26,"1","cell_02","cell_02",0.9992844
28,"1","cell_02","cell_02",1.002279
30,"1","cell_02","cell_02",1.002916
32,"1","cell_02","cell_02",1.001679
34,"1","cell_02","cell_02",0.9966198
36,"1","cell_02","cell_02",1.007026
38,"1","cell_02","cell_02",0.9868194
40,"1","cell_02","cell_02",0.9891354
42,"1","cell_02","cell_02",0.9972853
44,"1","cell_02","cell_02",0.9909698
46,"1","cell_02","cell_02",0.9918954
48,"1","cell_02","cell_02",1.004965
50,"1","cell_02","cell_02",0.7712867
52,"1","cell_02","cell_02",0.777539
54,"1","cell_02","cell_02",0.7637621
56,"1","cell_02","cell_02",0.7657181
58,"1","cell_02","cell_02",0.7418116
60,"1","cell_02","cell_02",0.7439602
62,"1","cell_02","cell_02",0.764734
64,"1","cell_02","cell_02",0.7585751
66,"1","cell_02","cell_02",0.758302
68,"1","cell_02","cell_02",0.7595171
70,"1","cell_02","cell_02",0.7566794
72,"1","cell_02","cell_02",0.75479
74,"1","cell_02","cell_02",0.7619421
76,"1","cell_02","cell_02",0.7591677
78,"1","cell_02","cell_02",0.7602997
80,"1","cell_02","cell_02",0.7532247
82,"1","cell_02","cell_02",0.765366
84,"1","cell_02","cell_02",0.7582719
86,"1","cell_02","cell_02",0.7592971
88,"1","cell_02","cell_02",0.7636634
90,"1","cell_02","cell_02",0.760431
92,"1","cell_02","cell_02",0.7605526
94,"1","cell_02","cell_02",0.7638866
96,"1","cell_02","cell_02",0.753895
98,"1","cell_02","cell_02",0.7641327
100,"1","cell_02","cell_02",0.7584084
102,"1","cell_02","cell_02",0.7586494
104,"1","cell_02","cell_02",0.7585765
106,"1","cell_02","cell_02",0.7569599
108,"1","cell_02","cell_02",0.7514185
110,"1","cell_02","cell_02",0.7549981
112,"1","cell_02","cell_02",0.7595157
114,"1","cell_02","cell_02",0.7545304
116,"1","cell_02","cell_02",0.759595
118,"1","cell_02","cell_02",0.755384
120,"1","cell_02","cell_02",0.7538441
122,"1","cell_02","cell_02",0.7541345
124,"1","cell_02","cell_02",0.7488391
126,"1","cell_02","cell_02",0.7470768
128,"1","cell_02","cell_02",0.7506834
130,"1","cell_02","cell_02",0.7463942
132,"1","cell_02","cell_02",0.7481719
134,"1","cell_02","cell_02",0.7538762
136,"1","cell_02","cell_02",0.7581832
138,"1","cell_02","cell_02",0.752481
140,"1","cell_02","cell_02",0.7522457
142,"1","cell_02","cell_02",0.7597531
144,"1","cell_02","cell_02",0.7512102
146,"1","cell_02","cell_02",0.7557646
148,"1","cell_02","cell_02",0.7567158
150,"1","cell_02","cell_02",0.7510465
152,"1","cell_02","cell_02",0.7373843
154,"1","cell_02","cell_02",0.7608193
156,"1","cell_02","cell_02",0.758895
158,"1","cell_02","cell_02",0.7589667
160,"1","cell_02","cell_02",0.7840518
162,"1","cell_02","cell_02",0.8143562
164,"1","cell_02","cell_02",0.8466827
166,"1","cell_02","cell_02",0.8771384
168,"1","cell_02","cell_02",0.889087
170,"1","cell_02","cell_02",0.9012936
172,"1","cell_02","cell_02",0.910957
174,"1","cell_02","cell_02",0.9268601
176,"1","cell_02","cell_02",0.9094514
178,"1","cell_02","cell_02",0.9242779
180,"1","cell_02","cell_02",0.9076857
182,"1","cell_02","cell_02",0.925498
184,"1","cell_02","cell_02",0.9222595
186,"1","cell_02","cell_02",0.9317784
188,"1","cell_02","cell_02",0.9226643
190,"1","cell_02","cell_02",0.9165547
192,"1","cell_02","cell_02",0.9147034
194,"1","cell_02","cell_02",0.9236096
196,"1","cell_02","cell_02",0.9257274
198,"1","cell_02","cell_02",0.9252224
200,"1","cell_02","cell_02",0.9284414
202,"1","cell_02","cell_02",0.9289717
204,"1","cell_02","cell_02",0.9240814
206,"1","cell_02","cell_02",0.9261681
208,"1","cell_02","cell_02",0.9276364
210,"1","cell_02","cell_02",0.9241971
212,"1","cell_02","cell_02",0.9166014
214,"1","cell_02","cell_02",0.9281349
216,"1","cell_02","cell_02",0.9224838
218,"1","cell_02","cell_02",0.923761
220,"1","cell_02","cell_02",0.9307938
222,"1","cell_02","cell_02",0.937544
224,"1","cell_02","cell_02",0.9286164
226,"1","cell_02","cell_02",0.9689363
228,"1","cell_02","cell_02",0.9514383
230,"1","cell_02","cell_02",0.9493067
232,"1","cell_02","cell_02",0.9318541
234,"1","cell_02","cell_02",0.9352189
236,"1","cell_02","cell_02",0.9487267
238,"1","cell_02","cell_02",0.9328855
240,"1","cell_02","cell_02",0.9292778
0,"1","cell_03","cell_03",0.9907055
2,"1","cell_03","cell_03",1.00146
4,"1","cell_03","cell_03",1.002369
6,"1","cell_03","cell_03",1.003493
8,"1","cell_03","cell_03",0.9957852
10,"1","cell_03","cell_03",0.9897691
12,"1","cell_03","cell_03",1.007262
14,"1","cell_03","cell_03",0.9901359
16,"1","cell_03","cell_03",1.003434
18,"1","cell_03","cell_03",1.002396
20,"1","cell_03","cell_03",0.9948413
22,"1","cell_03","cell_03",0.9817954
24,"1","cell_03","cell_03",0.9929974
26,"1","cell_03","cell_03",0.9930775
28,"1","cell_03","cell_03",0.9968351
30,"1","cell_03","cell_03",1.003374
32,"1","cell_03","cell_03",1.000509
34,"1","cell_03","cell_03",1.001452
36,"1","cell_03","cell_03",0.9873161
38,"1","cell_03","cell_03",0.9893566
40,"1","cell_03","cell_03",0.9933261
42,"1","cell_03","cell_03",0.9921743
44,"1","cell_03","cell_03",0.9822891
46,"1","cell_03","cell_03",0.7727538
48,"1","cell_03","cell_03",0.6569181
50,"1","cell_03","cell_03",0.6419768
52,"1","cell_03","cell_03",0.6304104
54,"1","cell_03","cell_03",0.6329958
56,"1","cell_03","cell_03",0.6327962
58,"1","cell_03","cell_03",0.6269465
60,"1","cell_03","cell_03",0.6266464
62,"1","cell_03","cell_03",0.6231157
64,"1","cell_03","cell_03",0.6230312
66,"1","cell_03","cell_03",0.6254841
68,"1","cell_03","cell_03",0.6221592
70,"1","cell_03","cell_03",0.6236967
72,"1","cell_03","cell_03",0.6247718
74,"1","cell_03","cell_03",0.6226387
76,"1","cell_03","cell_03",0.6261858
78,"1","cell_03","cell_03",0.625692
80,"1","cell_03","cell_03",0.6239132
82,"1","cell_03","cell_03",0.6273026
84,"1","cell_03","cell_03",0.6211504
86,"1","cell_03","cell_03",0.6260246
88,"1","cell_03","cell_03",0.6187277
90,"1","cell_03","cell_03",0.6186101
92,"1","cell_03","cell_03",0.6194225
94,"1","cell_03","cell_03",0.6230611
96,"1","cell_03","cell_03",0.6389883
98,"1","cell_03","cell_03",0.6988535
100,"1","cell_03","cell_03",0.6311075
102,"1","cell_03","cell_03",0.6383035
104,"1","cell_03","cell_03",0.638924
106,"1","cell_03","cell_03",0.6375644
108,"1","cell_03","cell_03",0.6400624
110,"1","cell_03","cell_03",0.6334744
112,"1","cell_03","cell_03",0.6417574
114,"1","cell_03","cell_03",0.6333274
116,"1","cell_03","cell_03",0.6389716
118,"1","cell_03","cell_03",0.6370345
120,"1","cell_03","cell_03",0.6375932
122,"1","cell_03","cell_03",0.6330434
124,"1","cell_03","cell_03",0.63602
126,"1","cell_03","cell_03",0.6405231
128,"1","cell_03","cell_03",0.6400219
130,"1","cell_03","cell_03",0.6374485
132,"1","cell_03","cell_03",0.6383447
134,"1","cell_03","cell_03",0.6405104
136,"1","cell_03","cell_03",0.640002
138,"1","cell_03","cell_03",0.6406428
140,"1","cell_03","cell_03",0.6407111
142,"1","cell_03","cell_03",0.6384149
144,"1","cell_03","cell_03",0.6415494
146,"1","cell_03","cell_03",0.6378209
148,"1","cell_03","cell_03",0.6478026
150,"1","cell_03","cell_03",0.6196126
152,"1","cell_03","cell_03",0.6595996
154,"1","cell_03","cell_03",0.6806108
156,"1","cell_03","cell_03",0.7065055
158,"1","cell_03","cell_03",0.7507149
160,"1","cell_03","cell_03",0.7769749
162,"1","cell_03","cell_03",0.7957701
164,"1","cell_03","cell_03",0.7948181
166,"1","cell_03","cell_03",0.8146588
168,"1","cell_03","cell_03",0.8198928
170,"1","cell_03","cell_03",0.8180432
172,"1","cell_03","cell_03",0.818664
174,"1","cell_03","cell_03",0.8285172
176,"1","cell_03","cell_03",0.8293164
178,"1","cell_03","cell_03",0.8297671
180,"1","cell_03","cell_03",0.8248296
182,"1","cell_03","cell_03",0.8307277
184,"1","cell_03","cell_03",0.8273021
186,"1","cell_03","cell_03",0.83806
188,"1","cell_03","cell_03",0.833377
190,"1","cell_03","cell_03",0.8405777
192,"1","cell_03","cell_03",0.8432119
194,"1","cell_03","cell_03",0.8462502
196,"1","cell_03","cell_03",0.8417921
198,"1","cell_03","cell_03",0.8405947
200,"1","cell_03","cell_03",0.8473712
202,"1","cell_03","cell_03",0.8516165
204,"1","cell_03","cell_03",0.844476
206,"1","cell_03","cell_03",0.8494313
208,"1","cell_03","cell_03",0.8485293
210,"1","cell_03","cell_03",0.8388352
212,"1","cell_03","cell_03",0.8452401
214,"1","cell_03","cell_03",0.8585805
216,"1","cell_03","cell_03",0.8543727
218,"1","cell_03","cell_03",0.8542214
220,"1","cell_03","cell_03",0.8624922
222,"1","cell_03","cell_03",0.8617003
224,"1","cell_03","cell_03",0.8646743
226,"1","cell_03","cell_03",0.851841
228,"1","cell_03","cell_03",0.86164
230,"1","cell_03","cell_03",0.861764
232,"1","cell_03","cell_03",0.8662289
234,"1","cell_03","cell_03",0.8537068
236,"1","cell_03","cell_03",0.8610116
238,"1","cell_03","cell_03",0.865618
